Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Knokke-Heist;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1196;1196;1200;;1200;;1200;;1200;;1200;;1200;;1200;
Koekelare;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1071;1071;1071;;1071;;1071;;1071;;1071;;1071;;1071;
Koksijde;1950;1950;1950;1950;1950;1950;1950;1950;1950;1950;1220;1220;1220;;1220;;1220;;1220;;1220;;1220;;1200;
Kontich;1095;1095;1095;1095;1095;1095;1095;1095;1095;1095;690;690;690;;690;;690;;690;;690;;690;;860;5 categorieën: 860 / 890 / 920 / 950 / 980
Kortemark;1700;1700;1700;1600;1600;1600;1850;1850;1850;1850;1165;1165;1165;;1165;;1165;;1165;;1165;;1165;;1165;
Kortenaken;1550;1475;1475;1475;1475;1475;1475;1475;1475;1475;929;929;929;;929;;929;;929;;929;;929;;929;
Kortenberg;1200;1200;1100;1100;950;950;950;950;950;950;598;598;598;;598;;598;;598;;598;;598;;598;
Kortessem (t/m  2024);1750;1750;1750;1675;1600;1600;1600;1600;1600;1600;1008;1008;1008;;1008;;1008;;1008;;1008;;;;;
Kortrijk;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1102;1102;1102;;1102;;1102;;1102;;1102;;1102;;1102;
Kraainem;850;850;950;950;950;950;950;950;950;950;598;598;598;;598;;598;;598;;598;;598;;695;
Kruibeke (t/m 2024);1650;1650;1950;1950;1950;1950;1950;1950;1950;1950;1228;1228;1228;;1228;;1228;;1228;;1228;;;;;
Kruisem (vanaf 2019);;;;;;;;;;;;693;693;;693;;693;;693;2 categorieën: 693 / 826;693;2 categorieën: 693 / 826;693;2 categorieën: 693 / 826;693;2 categorieën: 693 / 826
Kruishoutem (t/m 2018);1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;693;;;;;;;;;;;;;;;
Kuurne;1750;1750;1750;1750;1750;1750;1800;1800;1800;1800;1134;1134;1209;;1209;;1209;;1209;;1209;;1209;;1209;
